user_id,bot_name,total_messages,first_message_time,last_message_time,usage_span_days
37507130,Hook_Generator_Bot,4,2025-09-13 15:39:02.900112,2025-09-13 15:39:03.650991,0
37508681,Hook_Generator_Bot,4,2025-09-13 16:06:35.776209,2025-09-13 16:06:39.599014,0
38410475,myshell_thumbmaker_bot,4,2025-09-30 02:31:31.608893,2025-09-30 02:49:10.558672,0
39083075,myshell_thumbmaker_bot,4,2025-10-22 04:07:07.000762,2025-10-22 04:08:52.476449,0
39147389,myshell_thumbmaker_bot,4,2025-10-24 02:33:05.060515,2025-10-24 02:33:15.148457,0
36945560,Hook_Generator_Bot,2,2025-09-13 11:30:39.395888,2025-09-13 11:30:42.593767,0
36883054,Hook_Generator_Bot,2,2025-09-13 12:39:02.872075,2025-09-13 12:39:06.002553,0
36878910,Hook_Generator_Bot,2,2025-09-13 12:59:41.774954,2025-09-13 12:59:46.324326,0
36946192,Hook_Generator_Bot,2,2025-09-13 13:19:57.460629,2025-09-13 13:20:00.709547,0
330325,Hook_Generator_Bot,2,2025-09-13 15:08:13.577728,2025-09-13 15:08:17.031812,0
37507041,Hook_Generator_Bot,2,2025-09-13 15:37:12.680037,2025-09-13 15:37:12.845596,0
37507119,Hook_Generator_Bot,2,2025-09-13 15:38:12.744447,2025-09-13 15:38:13.347262,0
37507490,Hook_Generator_Bot,2,2025-09-13 15:43:10.827064,2025-09-13 15:43:26.281693,0
37507048,Hook_Generator_Bot,2,2025-09-13 17:07:38.796070,2025-09-13 17:07:45.634760,0
37518603,Hook_Generator_Bot,2,2025-09-13 18:54:46.040640,2025-09-13 18:54:48.886853,0
37523979,Hook_Generator_Bot,2,2025-09-13 20:45:56.803668,2025-09-13 20:46:08.188392,0
37562572,Hook_Generator_Bot,2,2025-09-14 00:47:40.570022,2025-09-14 00:47:43.872119,0
37564504,Hook_Generator_Bot,2,2025-09-14 01:24:45.589341,2025-09-14 01:24:49.094238,0
37573619,Hook_Generator_Bot,2,2025-09-14 07:26:23.359191,2025-09-14 07:26:26.436539,0
37574270,Hook_Generator_Bot,2,2025-09-14 07:54:40.617812,2025-09-14 07:54:43.138132,0
37579701,Hook_Generator_Bot,2,2025-09-14 11:26:44.571206,2025-09-14 11:26:47.761719,0
37605635,Hook_Generator_Bot,2,2025-09-14 23:00:56.069808,2025-09-14 23:00:58.664053,0
37507115,Hook_Generator_Bot,2,2025-09-14 23:08:50.885402,2025-09-14 23:08:54.288651,0
37743365,Hook_Generator_Bot,2,2025-09-16 19:04:37.641911,2025-09-16 19:04:40.357720,0
37854694,Hook_Generator_Bot,2,2025-09-18 17:46:59.492708,2025-09-18 17:47:03.489123,0
37939702,Hook_Generator_Bot,2,2025-09-20 08:02:52.755207,2025-09-20 08:02:55.326576,0
38014306,Hook_Generator_Bot,2,2025-09-21 16:04:14.394634,2025-09-21 16:04:17.074969,0
