user_id,bots_used,total_messages,first_interaction,last_interaction,engagement_hours,active_days
39182835,1,2,2025-10-25 03:28:07.981439,2025-10-25 03:28:11.378885,0,1
36946192,1,2,2025-09-13 13:19:57.460629,2025-09-13 13:20:00.709547,0,1
37507041,1,2,2025-09-13 15:37:12.680037,2025-09-13 15:37:12.845596,0,1
39256451,1,2,2025-10-27 05:46:25.552472,2025-10-27 05:46:28.619467,0,1
37507048,1,2,2025-09-13 17:07:38.796070,2025-09-13 17:07:45.634760,0,1
37518603,1,2,2025-09-13 18:54:46.040640,2025-09-13 18:54:48.886853,0,1
38460425,1,2,2025-10-01 07:27:52.440597,2025-10-01 07:27:55.083170,0,1
37507119,1,2,2025-09-13 15:38:12.744447,2025-09-13 15:38:13.347262,0,1
38504273,1,2,2025-10-02 23:21:49.624674,2025-10-02 23:21:52.525847,0,1
37507115,1,2,2025-09-14 23:08:50.885402,2025-09-14 23:08:54.288651,0,1
37523979,1,2,2025-09-13 20:45:56.803668,2025-09-13 20:46:08.188392,0,1
38014306,1,2,2025-09-21 16:04:14.394634,2025-09-21 16:04:17.074969,0,1
37939702,1,2,2025-09-20 08:02:52.755207,2025-09-20 08:02:55.326576,0,1
37854694,1,2,2025-09-18 17:46:59.492708,2025-09-18 17:47:03.489123,0,1
37743365,1,2,2025-09-16 19:04:37.641911,2025-09-16 19:04:40.357720,0,1
37562572,1,2,2025-09-14 00:47:40.570022,2025-09-14 00:47:43.872119,0,1
37605635,1,2,2025-09-14 23:00:56.069808,2025-09-14 23:00:58.664053,0,1
37579701,1,2,2025-09-14 11:26:44.571206,2025-09-14 11:26:47.761719,0,1
37564504,1,2,2025-09-14 01:24:45.589341,2025-09-14 01:24:49.094238,0,1
37574270,1,2,2025-09-14 07:54:40.617812,2025-09-14 07:54:43.138132,0,1
37573619,1,2,2025-09-14 07:26:23.359191,2025-09-14 07:26:26.436539,0,1
